city,latitude,longitude,date,max_temperature,min_temperature,max_windspeed,humidity,pressure
Warsaw,52.22977,21.01178,2015-03-24,13.7,-1.1,15.0,65.0,1011.4
Warsaw,52.22977,21.01178,2015-03-25,15.5,3.1,12.8,71.0,1011.8
Warsaw,52.22977,21.01178,2015-03-26,17.3,7.8,16.8,73.0,1008.8
Warsaw,52.22977,21.01178,2015-03-27,17.4,5.0,18.1,89.0,1009.5
Warsaw,52.22977,21.01178,2015-03-28,9.3,3.0,14.4,82.0,1015.7
Warsaw,52.22977,21.01178,2015-03-29,11.5,-0.4,18.9,79.0,1005.5
Warsaw,52.22977,21.01178,2015-03-30,10.9,4.5,32.3,78.0,991.2
Warsaw,52.22977,21.01178,2015-03-31,6.3,2.0,30.3,80.0,993.6
Warsaw,52.22977,21.01178,2015-04-01,6.1,1.8,33.3,86.0,994.9
Warsaw,52.22977,21.01178,2015-04-02,6.1,-0.1,29.2,76.0,1002.4
Warsaw,52.22977,21.01178,2015-04-03,7.7,-1.1,20.8,86.0,1010.0
Warsaw,52.22977,21.01178,2015-04-04,7.0,-1.4,16.2,85.0,1011.6
Warsaw,52.22977,21.01178,2015-04-05,6.6,-0.6,18.1,84.0,1016.3
Warsaw,52.22977,21.01178,2015-04-06,7.3,0.5,15.0,74.0,1023.1
Warsaw,52.22977,21.01178,2015-04-07,9.2,-0.0,20.9,71.0,1027.2
Warsaw,52.22977,21.01178,2015-04-08,11.5,4.6,20.2,74.0,1024.6
Warsaw,52.22977,21.01178,2015-04-09,12.2,-0.6,15.1,55.0,1030.4
Warsaw,52.22977,21.01178,2015-04-10,16.2,2.2,10.8,62.0,1023.8
Warsaw,52.22977,21.01178,2015-04-11,19.0,2.7,13.3,65.0,1019.6
Warsaw,52.22977,21.01178,2015-04-12,12.5,6.3,25.6,60.0,1023.9
Warsaw,52.22977,21.01178,2015-04-13,13.1,4.9,34.9,57.0,1019.5
Warsaw,52.22977,21.01178,2015-04-14,9.4,2.6,26.7,56.0,1020.7
Warsaw,52.22977,21.01178,2015-04-15,13.7,6.9,22.9,75.0,1011.1
Warsaw,52.22977,21.01178,2015-04-16,12.8,5.7,23.6,55.0,1008.4
Warsaw,52.22977,21.01178,2015-04-17,10.9,3.3,20.7,62.0,1010.7
Warsaw,52.22977,21.01178,2015-04-18,8.8,0.8,21.5,76.0,1016.4
Warsaw,52.22977,21.01178,2015-04-19,8.5,1.2,20.2,73.0,1017.9
Warsaw,52.22977,21.01178,2015-04-20,12.0,4.0,31.2,59.0,1014.9
Warsaw,52.22977,21.01178,2015-04-21,13.4,1.5,16.6,67.0,1018.9
Warsaw,52.22977,21.01178,2015-04-22,14.0,2.2,10.3,68.0,1021.4
Warsaw,52.22977,21.01178,2015-04-23,16.9,2.8,24.8,60.0,1014.6
Warsaw,52.22977,21.01178,2015-04-24,17.9,6.6,15.9,66.0,1012.4
Warsaw,52.22977,21.01178,2015-04-25,20.6,5.8,13.8,63.0,1010.8
Warsaw,52.22977,21.01178,2015-04-26,16.6,10.2,14.7,74.0,1008.0
Warsaw,52.22977,21.01178,2015-04-27,21.9,7.6,14.3,70.0,1005.6
Warsaw,52.22977,21.01178,2015-04-28,22.6,7.6,24.0,71.0,1004.0
Warsaw,52.22977,21.01178,2015-04-29,13.0,4.3,25.7,67.0,1017.6
Warsaw,52.22977,21.01178,2015-04-30,13.8,3.1,17.1,59.0,1018.5
Warsaw,52.22977,21.01178,2015-05-01,16.0,6.5,17.4,69.0,1007.9
Warsaw,52.22977,21.01178,2015-05-02,14.3,2.5,15.9,65.0,1009.6
Warsaw,52.22977,21.01178,2015-05-03,15.1,4.0,12.8,56.0,1014.5
Warsaw,52.22977,21.01178,2015-05-04,14.8,8.0,17.3,70.0,1012.3
Warsaw,52.22977,21.01178,2015-05-05,22.2,7.1,16.3,70.0,1011.8
Warsaw,52.22977,21.01178,2015-05-06,17.4,12.2,13.6,88.0,1010.9
Warsaw,52.22977,21.01178,2015-05-07,19.1,9.0,17.1,68.0,1014.3
Warsaw,52.22977,21.01178,2015-05-08,16.9,8.2,16.4,64.0,1019.1
Warsaw,52.22977,21.01178,2015-05-09,18.4,7.4,10.0,63.0,1018.2
Warsaw,52.22977,21.01178,2015-05-10,15.9,10.1,18.6,75.0,1018.9
Warsaw,52.22977,21.01178,2015-05-11,15.2,8.0,14.6,69.0,1027.1
Warsaw,52.22977,21.01178,2015-05-12,20.4,6.4,18.5,63.0,1021.0
Warsaw,52.22977,21.01178,2015-05-13,16.9,9.5,22.7,58.0,1014.1
Warsaw,52.22977,21.01178,2015-05-14,16.1,6.8,15.3,70.0,1008.4
Warsaw,52.22977,21.01178,2015-05-15,15.9,6.4,23.2,74.0,1012.5
Warsaw,52.22977,21.01178,2015-05-16,17.0,3.0,12.2,56.0,1017.7
Warsaw,52.22977,21.01178,2015-05-17,13.9,8.1,26.3,61.0,1017.1
Warsaw,52.22977,21.01178,2015-05-18,16.8,6.7,26.7,56.0,1014.6
Warsaw,52.22977,21.01178,2015-05-19,23.7,9.6,17.3,62.0,1007.9
Warsaw,52.22977,21.01178,2015-05-20,21.1,12.2,12.7,85.0,1010.0
